project_number,match_1,project_lengths,values_match
170561,['10.15'],['10.15'],True
170626,[],[],True
170634,['13.93'],['13.93'],True
174015,['5.45'],['5.45'],True
174016,['1.22'],['1.22'],True
180003,['9.19'],['9.19'],True
180004,['1.76'],['1.76'],True
180006,['0.5'],['0.5'],True
180012,[],[],True
180014,['4.45'],['4.45'],True
180020,['1.23'],['1.23'],True
180024,['8.14'],['8.14'],True
180025,['8.87'],['8.87'],True
180028,['1.53'],['1.53'],True
180029,['7.65'],['7.65'],True
180031,['4.60'],['4.60'],True
180043,[],[],True
180045,['11.51'],['11.51'],True
180050,['2.27'],['2.27'],True
180051,['0.58'],['0.58'],True
180055,['1.82'],['1.82'],True
180058,['5.04'],['5.04'],True
180064,['9.68'],['9.68'],True
180066,['13.21'],['13.21'],True
180067,['3.61'],['3.61'],True
180068,['16.27'],['16.27'],True
180071,['23.68'],['23.68'],True
180073,['1.74'],['1.74'],True
180085,['3.11'],['3.11'],True
180088,['7.12'],['7.12'],True
180090,['8.85'],['8.85'],True
180092,['3.44'],['3.44'],True
180095,['14.49'],['14.49'],True
180101,[],[],True
180102,['6.54'],['6.54'],True
180103,['5.82'],['5.82'],True
180105,['1.4'],['1.4'],True
180108,['2.27'],['2.27'],True
180110,['9.67'],['9.67'],True
180112,['8.42'],['8.42'],True
180113,[],[],True
180114,[],[],True
180115,[],[],True
180116,[],[],True
180119,['5.40'],['5.40'],True
180122,['3.2'],['3.2'],True
180130,[],[],True
180132,['19.07'],['19.07'],True
180137,['5.71'],['5.71'],True
180139,['4.56'],['4.56'],True
180140,[],[],True
180141,['3.47'],['3.47'],True
180147,['0.40'],['0.40'],True
180149,['9.57'],['9.57'],True
180153,[],[],True
180154,['2.85'],['2.85'],True
180156,['12.1'],['12.1'],True
180164,['2.82'],['2.82'],True
180165,['9.72'],['9.72'],True
180166,['6.25'],['6.25'],True
180167,['7.56'],['7.56'],True
180170,['5'],['5'],True
180172,[],[],True
180174,[],[],True
180175,['20.57'],['20.57'],True
180179,['10.57'],['10.57'],True
180187,['0.07'],['0.07'],True
180189,[],[],True
180192,['8.22'],['8.22'],True
180195,['7.54'],['7.54'],True
180197,['2.9'],['2.9'],True
180206,['4.09'],['4.09'],True
180210,['0.55'],['0.55'],True
180211,['4.06'],['4.06'],True
180217,['8.06'],['8.06'],True
180222,[],[],True
180223,[],[],True
180227,['4.675'],['4.675'],True
180228,['6.18'],['6.18'],True
180229,['2.26'],['2.26'],True
180230,['4.27'],['4.27'],True
180231,['10.94'],['10.94'],True
180232,['1.19'],['1.19'],True
180233,['9.00'],['9.00'],True
180237,['15.72'],['15.72'],True
180238,['1.36'],['1.36'],True
180246,['10.28'],['10.28'],True
180249,[],[],True
180250,['1.55'],['1.55'],True
180256,['3.00'],['3.00'],True
180257,['6.96'],['6.96'],True
180259,['15.6'],['15.6'],True
180260,['1.09'],['1.09'],True
180262,['1.57'],['1.57'],True
180265,['3.24'],['3.24'],True
180269,['7.54'],['7.54'],True
180270,['2.00'],['2.00'],True
180272,[],[],True
180282,['1.11'],['1.11'],True
180289,['7.94'],['7.94'],True
180291,[],[],True
180292,['2.44'],['2.44'],True
180295,['0.91'],['0.91'],True
180298,['13.64'],['13.64'],True
180302,['11.77'],['11.77'],True
180312,[],[],True
180318,[],[],True
180319,[],[],True
180325,['2.65'],['2.65'],True
180326,['6.49'],['6.49'],True
180329,['6.08'],['6.08'],True
180330,['6.55'],['6.55'],True
180331,[],[],True
180345,['7.15'],['7.15'],True
180355,['8.76'],['8.76'],True
180364,['14.26'],['14.26'],True
180367,['11.2'],['11.2'],True
180385,['2.85'],['2.85'],True
180386,['3.43'],['3.43'],True
180391,['4.19'],['4.19'],True
180394,['5.84'],['5.84'],True
180398,['18.57'],['18.57'],True
180399,['9.51'],['9.51'],True
180400,['2.56'],['2.56'],True
180401,[],[],True
180403,['13.52'],['13.52'],True
180406,['5.86'],['5.86'],True
180411,['17.62'],['17.62'],True
180413,['5.90'],['5.90'],True
180420,[],[],True
180421,[],[],True
180422,[],[],True
180424,['5.27'],['5.27'],True
180426,['16.06'],['16.06'],True
180427,[],[],True
180431,['8.07'],['8.07'],True
180432,['10.54'],['10.54'],True
180433,['5.79'],['5.79'],True
180435,['3.54'],['3.54'],True
180436,['0.56'],['0.56'],True
180437,['1.88'],['1.88'],True
180438,['10.64'],['10.64'],True
180439,['5.65'],['5.65'],True
180442,['12.37'],['12.37'],True
180448,[],[],True
180449,[],[],True
180452,['27.46'],['27.46'],True
180455,['13.99'],['13.99'],True
180461,['5.54'],['5.54'],True
180471,['3.64'],['3.64'],True
180475,['18.97'],['18.97'],True
180477,[],[],True
180479,['8.65'],['8.65'],True
180481,['9.83'],['9.83'],True
180485,['47.25'],['47.25'],True
180489,['2.71'],['2.71'],True
180490,['1.18'],['1.18'],True
180491,[],[],True
180495,['7.21'],['7.21'],True
180501,['9.94'],['9.94'],True
180506,['6.37'],['6.37'],True
180508,[],[],True
180509,['12.47'],['12.47'],True
180510,[],[],True
180511,['6.25'],['6.25'],True
180520,['19.40'],['19.40'],True
180521,['17.75'],['17.75'],True
180522,['16.98'],['16.98'],True
180525,['7.49'],['7.49'],True
180530,['4.39'],['4.39'],True
180533,['7.02'],['7.02'],True
180535,[],[],True
180536,['19.21'],['19.21'],True
180542,[],[],True
180547,['12.25'],['12.25'],True
180548,['3.85'],['3.85'],True
180549,[],[],True
180551,['8.09'],['8.09'],True
180555,[],[],True
180556,['9.58'],['9.58'],True
180557,['5.45'],['5.45'],True
180560,['8.85'],['8.85'],True
180568,['7.17'],['7.17'],True
180569,['6.19'],['6.19'],True
180570,[],[],True
180574,[],[],True
180576,['5.45'],['5.45'],True
180577,['12.11'],['12.11'],True
180583,['13.47'],['13.47'],True
180584,['7.32'],['7.32'],True
180585,['8.02'],['8.02'],True
180589,['11.45'],['11.45'],True
180592,['3.73'],['3.73'],True
180600,['11.44'],['11.44'],True
180607,['2.50'],['2.50'],True
180609,['11.23'],['11.23'],True
180610,['11.69'],['11.69'],True
180611,[],[],True
180621,['13.06'],['13.06'],True
180622,['24.61'],['24.61'],True
184002,['1.67'],['1.67'],True
187023,['17.59'],['17.59'],True
