filename,project_lengths
170561.pdf,['10.15']
170626.pdf,[]
170634.pdf,['13.93']
174015.pdf,['5.45']
174016.pdf,['1.22']
180003.pdf,['9.19']
180004.pdf,['1.76']
180006.pdf,['0.5']
180012.pdf,[]
180014.pdf,['4.45']
180020.pdf,['1.23']
180024.pdf,['8.14']
180025.pdf,['8.87']
180028.pdf,['1.53']
180029.pdf,['7.65']
180031.pdf,['4.60']
180043.pdf,[]
180045.pdf,['11.51']
180050.pdf,['2.27']
180051.pdf,['0.58']
180055.pdf,['1.82']
180058.pdf,['5.04']
180064.pdf,['9.68']
180066.pdf,['13.21']
180067.pdf,['3.61']
180068.pdf,['16.27']
180071.pdf,['23.68']
180073.pdf,['1.74']
180085.pdf,['3.11']
180088.pdf,['7.12']
180090.pdf,['8.85']
180092.pdf,['3.44']
180095.pdf,['14.49']
180101.pdf,[]
180102.pdf,['6.54']
180103.pdf,['5.82']
180105.pdf,['1.4']
180108.pdf,['2.27']
180110.pdf,['9.67']
180112.pdf,['8.42']
180113.pdf,[]
180114.pdf,[]
180115.pdf,[]
180116.pdf,[]
180119.pdf,['5.40']
180122.pdf,['3.2']
180130.pdf,[]
180132.pdf,['19.07']
180137.pdf,['5.71']
180139.pdf,['4.56']
180140.pdf,[]
180141.pdf,['3.47']
180147.pdf,['0.40']
180149.pdf,['9.57']
180153.pdf,[]
180154.pdf,['2.85']
180155.pdf,['9.41']
180156.pdf,['12.1']
180164.pdf,['2.82']
180165.pdf,['9.72']
180166.pdf,['6.25']
180167.pdf,['7.56']
180170.pdf,['5']
180172.pdf,[]
180174.pdf,[]
180175.pdf,['20.57']
180179.pdf,['10.57']
180187.pdf,['0.07']
180189.pdf,[]
180192.pdf,['8.22']
180195.pdf,['7.54']
180197.pdf,['2.9']
180206.pdf,['4.09']
180210.pdf,['0.55']
180211.pdf,['4.06']
180217.pdf,['8.06']
180222.pdf,[]
180223.pdf,[]
180227.pdf,['4.675']
180228.pdf,['6.18']
180229.pdf,['2.26']
180230.pdf,['4.27']
180231.pdf,['10.94']
180232.pdf,['1.19']
180233.pdf,['9.00']
180237.pdf,['15.72']
180238.pdf,['1.36']
180246.pdf,['10.28']
180249.pdf,[]
180250.pdf,['1.55']
180256.pdf,['3.00']
180257.pdf,['6.96']
180259.pdf,['15.6']
180260.pdf,['1.09']
180262.pdf,['1.57']
180265.pdf,['3.24']
180269.pdf,['7.54']
180270.pdf,['2.00']
180272.pdf,[]
180282.pdf,['1.11']
180285.pdf,[]
180289.pdf,['7.94']
180291.pdf,[]
180292.pdf,['2.44']
180294.pdf,[]
180295.pdf,['0.91']
180298.pdf,['13.64']
180302.pdf,['11.77']
180312.pdf,[]
180318.pdf,[]
180319.pdf,[]
180325.pdf,['2.65']
180326.pdf,['6.49']
180329.pdf,['6.08']
180330.pdf,['6.55']
180331.pdf,[]
180345.pdf,['7.15']
180355.pdf,['8.76']
180364.pdf,['14.26']
180367.pdf,['11.2']
180385.pdf,['2.85']
180386.pdf,['3.43']
180391.pdf,['4.19']
180394.pdf,['5.84']
180398.pdf,['18.57']
180399.pdf,['9.51']
180400.pdf,['2.56']
180401.pdf,[]
180403.pdf,['13.52']
180406.pdf,['5.86']
180411.pdf,['17.62']
180413.pdf,['5.90']
180420.pdf,[]
180421.pdf,[]
180422.pdf,[]
180424.pdf,['5.27']
180426.pdf,['16.06']
180427.pdf,[]
180431.pdf,['8.07']
180432.pdf,['10.54']
180433.pdf,['5.79']
180435.pdf,['3.54']
180436.pdf,['0.56']
180437.pdf,['1.88']
180438.pdf,['10.64']
180439.pdf,['5.65']
180442.pdf,['12.37']
180448.pdf,[]
180449.pdf,[]
180452.pdf,['27.46']
180455.pdf,['13.99']
180461.pdf,['5.54']
180471.pdf,['3.64']
180475.pdf,['18.97']
180477.pdf,[]
180479.pdf,['8.65']
180481.pdf,['9.83']
180485.pdf,['47.25']
180489.pdf,['2.71']
180490.pdf,['1.18']
180491.pdf,[]
180495.pdf,['7.21']
180501.pdf,['9.94']
180506.pdf,['6.37']
180508.pdf,[]
180509.pdf,['12.47']
180510.pdf,[]
180511.pdf,['6.25']
180520.pdf,['19.40']
180521.pdf,['17.75']
180522.pdf,['16.98']
180525.pdf,['7.49']
180530.pdf,['4.39']
180533.pdf,['7.02']
180535.pdf,[]
180536.pdf,['19.21']
180542.pdf,[]
180547.pdf,['12.25']
180548.pdf,['3.85']
180549.pdf,[]
180551.pdf,['8.09']
180555.pdf,[]
180556.pdf,['9.58']
180557.pdf,['5.45']
180560.pdf,['8.85']
180568.pdf,['7.17']
180569.pdf,['6.19']
180570.pdf,[]
180574.pdf,[]
180576.pdf,['5.45']
180577.pdf,['12.11']
180578.pdf,['2.03']
180583.pdf,['13.47']
180584.pdf,['7.32']
180585.pdf,['8.02']
180586.pdf,['1.89']
180589.pdf,['11.45']
180592.pdf,['3.73']
180598.pdf,['1.76']
180600.pdf,['11.44']
180601.pdf,[]
180607.pdf,['2.50']
180609.pdf,['11.23']
180610.pdf,['11.69']
180611.pdf,[]
180621.pdf,['13.06']
180622.pdf,['24.61']
184002.pdf,['1.67']
187023.pdf,['17.59']
188000.pdf,['5.45']
188001.pdf,['13.93']
